formula,E_B,alphax_el,alphay_el,alphaz_el,plasmafrequency_x,gap,gap_gw,gap_hse,emass_cbm,emass_vbm,alphax_lat,thickness,area,natoms,nspecies,dipz,ehull,hform,is_magnetic,layergroup
Al2Te2,0.799,4.607,4.607,0.565,0.000,1.748,3.016,2.363,0.615,3.318,1.527,5.133,14.667,4,2,-0.000,0.000,-0.376,No,p-6m2
RuBr2,1.353,3.914,3.914,0.336,0.000,1.045,2.403,2.542,0.798,3.250,0.171,2.634,12.377,3,2,0.000,0.187,-0.101,No,p-3m1
RuBr2,0.321,5.885,5.885,0.395,0.000,0.278,,,0.676,2.455,,3.482,11.540,3,2,0.000,0.558,0.270,Yes,p-6m2
RuCl2,1.663,3.172,3.172,0.293,0.000,1.181,2.624,2.824,1.046,5.174,0.259,2.455,11.181,3,2,-0.000,0.206,-0.300,No,p-3m1
RuCl2,0.407,4.806,4.806,0.353,0.000,0.463,1.291,0.908,0.772,3.906,0.210,3.297,10.413,3,2,-0.000,0.565,0.058,Yes,p-6m2
RuI2,0.994,5.028,5.028,0.393,0.000,1.022,1.988,2.303,0.519,4.160,0.032,2.810,14.040,3,2,-0.000,0.102,0.037,No,p-3m1
Au2I2,0.692,3.519,3.519,0.500,0.000,0.781,,1.592,0.380,0.454,,4.138,17.870,4,2,-0.000,0.163,0.065,No,p4/nmm
Au2O2,0.760,5.409,2.925,0.204,0.000,0.174,0.970,0.865,1.207,0.832,1.035,1.475,18.967,4,2,0.000,0.007,-0.010,No,p2/m11
Au2S2,1.039,3.452,2.500,0.276,0.000,1.216,,2.010,1.039,0.961,0.496,2.314,22.261,4,2,0.000,0.000,-0.091,No,p2/m11
Au2Se2,0.965,4.169,2.573,0.308,0.000,0.956,,1.561,0.703,0.760,0.431,2.592,23.606,4,2,0.000,0.007,-0.116,No,p2/m11
Au2Te2,0.863,5.309,2.695,0.345,0.000,0.618,,1.067,inf,0.514,0.292,2.792,26.609,4,2,0.000,0.000,-0.105,No,p2/m11
Au2Te2,0.252,302.746,302.746,0.453,3.847,0.037,,0.078,0.497,0.918,948.030,3.081,18.983,4,2,0.000,0.139,0.034,No,p-6m2
ScBr2,0.780,4.181,4.181,0.376,0.000,0.157,,0.757,1.697,1.994,0.802,3.501,11.820,3,2,-0.000,0.000,-1.588,Yes,p-6m2
ScCl2,0.865,3.525,3.525,0.329,0.000,0.107,,0.736,2.087,1.412,0.966,3.247,10.719,3,2,-0.000,0.009,-1.934,Yes,p-6m2
Bi2O2,0.608,4.054,4.054,0.466,0.000,0.120,1.186,1.042,0.063,1.747,2.875,3.409,13.693,4,2,0.000,0.319,-0.715,No,p-6m2
ScO2,3.810,1.026,1.026,0.232,0.000,1.464,4.421,3.769,3.047,9.439,1.606,2.071,8.965,3,2,0.000,0.586,-2.427,Yes,p-6m2
ScS2,1.316,2.049,2.049,0.339,0.000,0.718,2.744,1.890,4.172,4.641,1.249,2.720,12.425,3,2,-0.000,0.395,-1.234,Yes,p-6m2
ScSe2,1.057,2.614,2.614,0.376,0.000,0.560,,1.490,3.792,3.736,1.154,2.933,13.481,3,2,0.000,0.126,-1.126,Yes,p-6m2
Cs2Br2,1.638,0.460,0.460,0.177,0.000,4.080,,5.145,0.601,10.103,,1.231,49.370,4,2,-0.000,0.138,-1.687,No,p4/nmm
Cu2Br2,1.271,1.812,1.812,0.375,0.000,1.496,3.318,3.475,0.408,1.225,7.013,3.283,14.970,4,2,-0.000,0.030,-0.274,No,p4/nmm
SnBr2,1.423,2.119,2.119,0.364,0.000,2.097,4.003,2.867,0.357,2.081,,3.325,16.672,3,2,-0.000,0.000,-0.797,No,p-3m1
SnBr2,1.575,2.130,2.130,0.398,0.000,2.499,4.268,3.220,1.370,1.150,,3.668,15.430,3,2,0.000,0.086,-0.712,No,p-6m2
SnCl2,1.923,1.598,1.598,0.310,0.000,2.324,4.553,3.184,0.461,1.699,,2.989,15.894,3,2,-0.000,0.021,-0.991,No,p-3m1
SnCl2,1.879,1.664,1.664,0.348,0.000,2.745,4.772,3.537,1.530,2.962,,3.389,14.457,3,2,-0.000,0.117,-0.895,No,p-6m2
K2Br2,2.112,0.403,0.403,0.177,0.000,4.374,,5.470,0.578,11.264,0.681,1.461,39.679,4,2,0.000,0.144,-1.647,No,p4/nmm
SnI2,0.946,3.031,3.031,0.431,0.000,1.837,3.312,2.490,0.287,1.345,16.096,3.692,18.133,3,2,0.000,0.000,-0.539,No,p-3m1
SnI2,1.161,2.989,2.989,0.466,0.000,1.926,3.332,2.504,0.827,0.625,8.305,4.028,16.916,3,2,0.000,0.085,-0.454,No,p-6m2
SnO2,1.823,1.232,1.232,0.228,0.000,2.683,5.444,4.204,0.366,3.740,2.260,2.018,8.977,3,2,0.000,0.151,-1.548,No,p-3m1
SnO2,1.650,1.841,1.841,0.262,0.000,0.665,2.871,1.956,0.307,7.140,,2.455,8.291,3,2,0.000,0.645,-1.054,No,p-6m2
SnS2,1.010,3.168,3.168,0.367,0.000,1.587,3.150,2.361,0.445,0.751,4.365,2.955,11.830,3,2,-0.000,0.000,-0.402,No,p-3m1
SnS2,1.141,3.561,3.561,0.394,0.000,0.763,2.288,1.455,0.442,0.571,,3.228,11.288,3,2,0.000,0.286,-0.115,No,p-6m2
SnSe2,0.712,4.615,4.615,0.406,0.000,0.762,1.912,1.333,0.402,0.489,5.021,3.186,12.936,3,2,-0.000,0.000,-0.347,No,p-3m1
SrBr2,1.656,0.869,0.869,0.301,0.000,4.929,8.309,6.062,0.403,24.402,1.648,3.131,18.421,3,2,0.000,0.017,-2.155,No,p-3m1
Rb2Br2,1.919,0.416,0.416,0.175,0.000,4.180,,5.268,0.566,inf,0.743,1.386,44.025,4,2,-0.000,0.142,-1.646,No,p4/nmm
SrBr2,2.208,0.939,0.939,0.341,0.000,4.313,7.482,5.386,0.423,8.344,1.604,3.606,16.681,3,2,0.000,0.140,-2.033,No,p-6m2
SrCl2,2.057,0.675,0.675,0.254,0.000,5.738,9.502,7.047,0.494,5.573,1.553,2.793,17.248,3,2,0.000,0.046,-2.468,No,p-3m1
SrCl2,2.631,0.738,0.738,0.293,0.000,4.944,8.483,6.202,0.536,13.901,1.544,3.312,15.454,3,2,0.000,0.194,-2.320,No,p-6m2
SrI2,1.317,1.175,1.175,0.368,0.000,3.984,,5.007,0.792,0.741,1.746,3.591,20.278,3,2,0.000,0.000,-1.742,No,p-3m1
SrI2,1.691,1.260,1.260,0.406,0.000,3.418,6.198,4.355,1.150,1.319,1.664,4.006,18.610,3,2,-0.000,0.096,-1.646,No,p-6m2
