formula,E_B,alphax_el,alphay_el,alphaz_el,plasmafrequency_x,gap,gap_gw,gap_hse,emass_cbm,emass_vbm,alphax_lat,thickness,area,natoms,nspecies,dipz,ehull,hform,is_magnetic,layergroup
Tl2I2,1.193,1.394,1.394,0.268,0.000,2.063,,2.762,0.944,0.512,,2.644,40.485,4,2,-0.000,0.115,-0.562,No,p4/nmm
In2O2,1.063,2.930,2.930,0.434,0.000,0.385,1.867,0.920,0.320,1.966,2.255,4.432,10.250,4,2,0.000,0.208,-1.140,No,p-6m2
In2S2,0.849,3.518,3.518,0.526,0.000,1.675,3.149,2.431,0.256,5.127,2.434,5.174,13.271,4,2,0.000,0.000,-0.556,No,p-6m2
In2Se2,0.667,4.235,4.235,0.561,0.000,1.404,2.740,2.055,0.196,5.114,2.500,5.367,14.376,4,2,0.000,0.000,-0.538,No,p-6m2
In2Te2,0.472,5.356,5.356,0.607,0.000,1.233,2.362,1.812,0.160,2.383,2.319,5.574,16.537,4,2,0.000,0.000,-0.350,No,p-6m2
Ir2O2,0.339,73.774,73.774,0.438,1.229,0.122,0.234,0.230,0.262,1.677,,4.814,7.250,4,2,-0.000,0.510,-0.162,No,p-6m2
Ir2S2,0.359,52.113,52.113,0.554,0.000,0.297,0.108,0.713,0.074,0.098,,5.185,9.069,4,2,0.000,0.305,-0.047,No,p-6m2
Zn2S4,1.803,1.835,2.196,0.238,0.000,1.693,,2.719,1.146,0.559,5.824,1.403,32.018,6,2,-0.000,0.361,-0.192,No,p2_1/b11
Zn2Se4,1.467,2.533,3.099,0.278,0.000,1.382,,2.214,0.998,1.131,,1.770,34.410,6,2,-0.000,0.316,-0.163,No,p2_1/b11
CrBiAs,0.269,81.943,81.943,1.028,0.376,0.028,,,0.284,0.063,,3.580,9.431,3,3,-0.038,0.461,0.314,No,p3m1
Pb2O2,0.601,4.190,4.187,0.209,0.000,0.242,,1.090,0.570,0.174,,0.924,23.638,4,2,0.000,0.506,-0.657,No,p4/nmm
AsSBr,0.803,5.175,5.175,0.384,0.000,1.387,2.514,2.037,inf,0.701,29.270,3.141,11.968,3,3,0.009,0.028,-0.256,No,p3m1
AsSBr,0.742,5.028,5.028,0.411,0.000,1.417,2.511,2.077,0.790,0.473,,3.409,11.383,3,3,0.039,0.195,-0.088,No,p3m1
AsSeBr,0.717,5.813,5.813,0.400,0.000,1.228,2.274,1.839,5.608,0.737,21.791,3.226,12.611,3,3,0.044,0.000,-0.294,No,p3m1
Rh2O2,0.279,131.398,131.398,0.455,0.000,0.067,,0.062,0.191,0.125,,4.743,7.264,4,2,-0.000,0.246,-0.381,No,p-6m2
AsTeBr,0.585,6.709,6.709,0.420,0.000,1.237,2.227,1.839,0.873,0.938,19.461,3.309,13.734,3,3,0.089,0.000,-0.245,No,p3m1
AsTeBr,0.527,7.009,7.009,0.454,0.000,1.064,1.963,1.662,0.584,0.445,166.123,3.630,12.955,3,3,0.123,0.163,-0.082,No,p3m1
AsSeBr,0.665,5.747,5.747,0.429,0.000,1.497,2.503,2.099,inf,0.406,21.958,3.506,11.959,3,3,0.074,0.161,-0.134,No,p3m1
AsSCl,0.947,4.303,4.303,0.360,0.000,1.535,2.794,2.258,inf,0.831,29.466,3.018,11.540,3,3,0.042,0.047,-0.352,No,p3m1
AsSCl,1.009,4.301,4.301,0.386,0.000,1.731,2.933,2.443,1.021,0.560,,3.281,10.971,3,3,0.073,0.215,-0.184,No,p3m1
AsSeCl,0.791,4.894,4.894,0.374,0.000,1.373,2.561,2.060,3.212,0.820,24.942,3.087,12.220,3,3,0.076,0.005,-0.382,No,p3m1
AsSeCl,0.817,4.973,4.973,0.403,0.000,1.717,2.824,2.371,0.713,0.511,,3.368,11.584,3,3,0.109,0.172,-0.215,No,p3m1
AsTeCl,0.492,5.792,5.792,0.393,0.000,1.479,2.596,2.147,0.175,0.981,25.074,3.151,13.373,3,3,0.120,0.009,-0.322,No,p3m1
AsTeCl,0.609,6.200,6.200,0.426,0.000,1.289,2.203,1.824,1.104,0.468,,3.478,12.654,3,3,0.159,0.186,-0.145,No,p3m1
Sc2O2,0.640,9.789,9.789,0.414,0.000,0.700,1.355,1.194,2.167,2.346,,4.405,9.581,4,2,-0.000,0.249,-2.764,No,p-6m2
AsSI,0.466,6.914,6.914,0.411,0.000,1.336,2.356,1.950,1.761,0.258,25.189,3.240,12.795,3,3,-0.038,0.079,-0.108,No,p3m1
AsSI,0.355,7.065,7.065,0.442,0.000,0.222,1.095,0.810,0.505,0.308,,3.561,12.150,3,3,-0.007,0.271,0.084,No,p3m1
AsSeI,0.510,7.625,7.625,0.429,0.000,1.151,2.030,1.685,1.790,0.796,24.030,3.350,13.405,3,3,-0.003,0.019,-0.160,No,p3m1
AsSeI,0.355,7.374,7.374,0.461,0.000,0.446,1.300,1.052,0.709,0.294,14.282,3.665,12.675,3,3,0.029,0.193,0.014,No,p3m1
AsTeI,0.475,8.457,8.457,0.452,0.000,0.982,1.795,1.502,2.088,0.581,17.965,3.464,14.471,3,3,0.044,0.000,-0.124,No,p3m1
AsTeI,0.348,8.534,8.534,0.488,0.000,0.329,1.091,0.872,0.517,0.287,19.956,3.807,13.590,3,3,0.076,0.162,0.038,No,p3m1
W2O2,0.313,18.652,18.652,0.859,1.588,0.053,,0.132,0.805,0.656,,4.892,7.311,4,2,-0.000,0.503,-1.009,No,p-6m2
BiSBr,0.822,3.615,3.615,0.388,0.000,0.891,2.335,1.600,2.226,1.156,10.024,3.352,14.610,3,3,0.002,0.009,-0.557,No,p3m1
BiSBr,0.771,3.377,3.377,0.413,0.000,1.188,2.666,1.980,3.668,0.666,7.653,3.606,13.823,3,3,0.026,0.124,-0.442,No,p3m1
